".outcome","blue","green","red","nir","swir1","swir2"
4.08,0.035767547,0.05127079375,0.0339448625,0.3390092975,0.167850152,0.096456724
-4.6,0.04824250125,0.0767235315,0.063869125,0.4238469185,0.2663558945,0.160365954
-2.28,0.05020592975,0.06424857725,0.051152575,0.25287001625,0.158426738,0.116671072
-0.12,0.0774784305,0.12262465875,0.13131225625,0.36496593425,0.3381705935,0.217022708
2.29,0.0299730385,0.0450213445,0.03003401875,0.32321071525,0.155423672,0.093344846
5,0.0816825,0.13726,0.20568,0.34472,0.37728,0.3214275
1.83,0.1142567985,0.16103123575,0.21144670625,0.34903973825,0.405817244,0.340520544
0.18,0.0720191415,0.1006677815,0.0958118875,0.2710166915,0.2078478845,0.16388932
1.32,0.02822510825,0.03901133775,0.02892384375,0.199808219,0.0780429455,0.066520972
3.97,0.063255546,0.106270736,0.09740145625,0.31238906925,0.2611264175,0.178960068
-2.02,0.0363625,0.0545675,0.0534675,0.1982275,0.1232075,0.068455
1.5,0.0439564805,0.0588132325,0.04900791875,0.2810216095,0.152265275,0.102243274
0.214,0.03971834825,0.061063992,0.05642590625,0.290465027,0.1900365965,0.12865566
1.3,0.0793175,0.13286,0.1903625,0.3249475,0.364795,0.30369
-4.97,0.05532999925,0.08230254175,0.06959661875,0.22505021875,0.1713450995,0.167206942
-3.55,0.0229975,0.0585,0.0596275,0.2797375,0.2323275,0.130275
0.93,0.03430694775,0.0487566475,0.033087,0.25297210725,0.119335103,0.093216256
3.78,0.0623456645,0.089509761,0.08907514375,0.30437492575,0.274614326,0.184540874
3.2,0.03622248775,0.05787940675,0.0531206125,0.2085369995,0.160083602,0.128295608
0.632,0.08463776125,0.1088088265,0.10381019375,0.285156295,0.2642330375,0.20735274
-0.56,0.037395756,0.0668585005,0.03810801875,0.39559323425,0.217918511,0.121994698
3.29,0.05528211075,0.08848015825,0.0815814625,0.32203666875,0.2459557565,0.167001198
3,0.0622498875,0.0892703185,0.08559323125,0.3157325495,0.277720946,0.175436702
-0.99,0.031936467,0.04648194375,0.0329356125,0.277601561,0.1361885165,0.081668874
-0.815,0.00171250000000001,0.01505,0.00990749999999999,0.2295225,0.0645225,0.02264
-1.64,0.04249588125,0.0577596855,0.05349908125,0.24021073225,0.1752801515,0.118445614
-5.04,0.03177,0.06114,0.065155,0.18962,0.1689125,0.113335
-1.05,0.03756336575,0.05342577625,0.04073206875,0.29896410275,0.1502200835,0.09689393
-0.51,0.031074474,0.03494081525,0.0230449625,0.05698291,0.0300974435,0.051218762
